{0} alert on {1}: {2}%,{0} alert on {1}: {2}%
{0} contains invalid characters,{0} contains invalid characters
{0} has invalid format: {1},{0} has invalid format: {1}
{0} is not a valid CIDR: {1},{0} is not a valid CIDR: {1}
{0} is not a valid hostname: {1},{0} is not a valid hostname: {1}
{0} is not a valid IP address,{0} is not a valid IP address
{0} is not a valid IP address: {1},{0} is not a valid IP address: {1}
{0} is not a valid IP address or hostname,{0} is not a valid IP address or hostname
{0} is not a valid MAC address: {1},{0} is not a valid MAC address: {1}
{0} is not a valid subnet mask: {1},{0} is not a valid subnet mask: {1}
{0} is required for Static connection type,{0} is required for Static connection type
{0} is too long (max 253 characters),{0} is too long (max 253 characters)
{0} must be 0 (unlimited) or a positive number,{0} must be 0 (unlimited) or a positive number
{0} must be 32 characters or fewer,{0} must be 32 characters or fewer
{0} must be a number,{0} must be a number
{0} must be a number: {1},{0} must be a number: {1}
"{0} must be a valid IP address, CIDR notation, or address group name.","{0} must be a valid IP address, CIDR notation, or address group name."
{0} must be a valid IP address or CIDR notation.,{0} must be a valid IP address or CIDR notation.
{0} must be a valid port number or range (e.g. 80 or 80-443).,{0} must be a valid port number or range (e.g. 80 or 80-443).
"{0} must be a valid port number, range (e.g. 80-443), or comma-separated list.","{0} must be a valid port number, range (e.g. 80-443), or comma-separated list."
{0} must be between 1 and 4094,{0} must be between 1 and 4094
{0} must be between 1 and 65535: {1},{0} must be between 1 and 65535: {1}
{0} must be between 68 and 9000,{0} must be between 68 and 9000
{0} port out of range: {1},{0} port out of range: {1}
{0} start must be less than end: {1},{0} start must be less than end: {1}
{0} vouchers generated successfully,{0} vouchers generated successfully
24-hour window has expired. Please use a template message.,24-hour window has expired. Please use a template message.
Access denied on box {0}. Check permissions.,Access denied on box {0}. Check permissions.
Access Policies,Access Policies
Access Policy '{0}' has expired (ended {1}).,Access Policy '{0}' has expired (ended {1}).
Access Policy '{0}' has reached its max connections limit ({1}).,Access Policy '{0}' has reached its max connections limit ({1}).
Access Policy '{0}' is not yet valid (starts {1}).,Access Policy '{0}' is not yet valid (starts {1}).
Access Token is required for WhatsApp,Access Token is required for WhatsApp
Account has expired,Account has expired
Account is {0},Account is {0}
Account not yet active,Account not yet active
Actions,Actions
Action Value is required when action is {0}.,Action Value is required when action is {0}.
Active,Active
Agent Dashboard,Agent Dashboard
Alerts,Alerts
{alert_type} alert: current value {value} {op} {threshold},{alert_type} alert: current value {value} {op} {threshold}
All,All
Allowed IPs must be specified.,Allowed IPs must be specified.
Analytics,Analytics
API Port must be between 1 and 65535,API Port must be between 1 and 65535
API request failed: {0},API request failed: {0}
API Token Expiry must be at least 1 day,API Token Expiry must be at least 1 day
Are you sure you want to close this conversation?,Are you sure you want to close this conversation?
Arrowz,Arrowz
Arrowz Alert: {0},Arrowz Alert: {0}
Arrowz cleanup completed. Custom fields have been removed.,Arrowz cleanup completed. Custom fields have been removed.
Arrowz installed successfully! Configure your PBX settings to get started.,Arrowz installed successfully! Configure your PBX settings to get started.
Arrowz Settings,Arrowz Settings
Assign,Assign
Assign Conversation,Assign Conversation
Assign To,Assign To
At least one authentication method is required,At least one authentication method is required
At least one authentication method must be enabled,At least one authentication method must be enabled
Attachment,Attachment
Authentication failed,Authentication failed
Authentication failed for box {0}. Check API token.,Authentication failed for box {0}. Check API token.
Authentication successful,Authentication successful
Auth Error,Auth Error
Auto Refresh,Auto Refresh
Bandwidth plan assigned,Bandwidth plan assigned
Bandwidth Plan is required when action is Shape.,Bandwidth Plan is required when action is Shape.
Bandwidth Plans,Bandwidth Plans
Billing Plans,Billing Plans
Both GraphQL and SSH sync failed. GraphQL: {0}. SSH: {1},Both GraphQL and SSH sync failed. GraphQL: {0}. SSH: {1}
Bot Token is required for Telegram,Bot Token is required for Telegram
Box {0} has not sent heartbeat for {1} seconds,Box {0} has not sent heartbeat for {1} seconds
Boxes,Boxes
Burst Download speed cannot be less than the base Download speed.,Burst Download speed cannot be less than the base Download speed.
Burst Upload speed cannot be less than the base Upload speed.,Burst Upload speed cannot be less than the base Upload speed.
Call,Call
Call Log,Call Log
Call Log not found,Call Log not found
Calls,Calls
Calls Today,Calls Today
Cannot determine box for client {0},Cannot determine box for client {0}
Cannot import driver module: {0},Cannot import driver module: {0}
Captive Portal {0} started,Captive Portal {0} started
Captive Portal {0} stopped,Captive Portal {0} stopped
Chat ID / Username,Chat ID / Username
Check Status,Check Status
Circular reference detected: {0} cannot be a parent of itself,Circular reference detected: {0} cannot be a parent of itself
Circular reference detected in parent group hierarchy,Circular reference detected in parent group hierarchy
Client blocked,Client blocked
Client Config,Client Config
Client disconnected,Client disconnected
Client Group is required when Target Type is Group,Client Group is required when Target Type is Group
Client not found: {0},Client not found: {0}
👥 Clients,👥 Clients
Clients,Clients
Client unblocked,Client unblocked
Close,Close
Code Length must be between 4 and 20,Code Length must be between 4 and 20
Communication History,Communication History
💬 Communications,💬 Communications
Communications,Communications
Comparing configurations...,Comparing configurations...
Config pushed successfully!,Config pushed successfully!
Configuration applied successfully,Configuration applied successfully
Configuration Diff,Configuration Diff
Connection failed,Connection failed
Connection Failed,Connection Failed
Connection failed: {0},Connection failed: {0}
Connections,Connections
Connection successful,Connection successful
Connection successful!,Connection successful!
Connection Test,Connection Test
Conversation assigned,Conversation assigned
Conversation closed,Conversation closed
Copied!,Copied!
Copy & Close,Copy & Close
Copy to Clipboard,Copy to Clipboard
Details,Details
Device Configuration,Device Configuration
DHCP Start and End addresses are required when DHCP is enabled,DHCP Start and End addresses are required when DHCP is enabled
Dinstar Connection Error,Dinstar Connection Error
Dinstar GSM Gateway,Dinstar GSM Gateway
Disabled,Disabled
Download PNG,Download PNG
Download Speed (Kbps) must be greater than 0.,Download Speed (Kbps) must be greater than 0.
Driver class '{0}' not found in module '{1}',Driver class '{0}' not found in module '{1}'
Edit,Edit
Email,Email
End Date must be after Start Date,End Date must be after Start Date
End Time,End Time
End Time cannot be before Start Time,End Time cannot be before Start Time
End time must be after start time,End time must be after start time
Error,Error
Extensions,Extensions
Extension synced via SSH: {0},Extension synced via SSH: {0}
Failed to assign conversation,Failed to assign conversation
Failed to close conversation,Failed to close conversation
Failed to connect to box {0} after {1} attempts: {2},Failed to connect to box {0} after {1} attempts: {2}
Failed to connect to Dinstar gateway,Failed to connect to Dinstar gateway
Failed to connect to OpenMeetings: {0},Failed to connect to OpenMeetings: {0}
Failed to create meeting room: {0},Failed to create meeting room: {0}
